song,album,I'm,know,like,yeah,got,get,don't,shit,go,girl,that\s,need,niggas,time,love,spotifyPlays,duration,explicit,wordCount,yearReleased
wednesday-night-interlude,If You're Reading This It's Too Late,17,1,0,1,1,1,2,0,4,0,0,0,0,1,4,49742611,212,1,195,2015
nice-for-what,Scorpion B,0,12,5,5,3,2,1,1,2,2,0,4,0,0,1,545129698,211,1,960,2018
over,Thank Me Later,13,8,6,4,1,1,1,2,0,4,0,1,2,1,0,78784512,234,1,597,2010
elevate,Scorpion A,2,2,3,4,4,1,2,1,0,0,1,1,0,0,0,77574969,185,1,360,2018
free-smoke,More Life,2,6,2,9,2,5,2,0,0,0,0,3,1,1,1,123998370,219,1,573,2017
hyfr,Take Care,3,0,6,19,0,4,4,2,3,2,0,2,2,5,1,132216435,207,1,585,2011
headlines,Take Care,4,43,9,5,6,2,3,1,1,2,0,1,3,0,3,216878305,236,1,581,2011
cant-have-everything,More Life,8,3,3,2,1,1,1,3,0,2,0,6,0,0,1,59829099,228,1,526,2017
the-motto,Take Care,10,5,10,0,3,1,3,1,0,6,2,3,1,1,4,203056768,182,1,523,2011
best-i-ever-had,So Far Gone,2,7,4,3,5,7,1,0,1,1,0,0,6,2,7,156391937,258,1,809,2009
now-and-forever,If You're Reading This It's Too Late,29,9,0,7,3,5,2,10,0,1,0,0,0,0,1,70866760,281,1,482,2015
do-not-disturb,More Life,4,3,8,4,2,4,6,4,0,3,5,0,2,2,0,138430512,284,1,651,2017
and-future-digital-dash,What A Time To Be Alive,14,8,2,5,11,9,5,0,1,4,0,3,0,2,1,76566383,231,1,791,2015
pound-cake-paris-morton-music-2,Nothing Was The Same,13,8,11,4,6,41,5,2,0,3,1,5,3,0,2,108694523,433,1,1081,2013
ceces-interlude,Thank Me Later,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,10242737,154,0,149,2010
the-resistance,Thank Me Later,13,4,4,1,2,1,5,1,2,2,1,0,8,0,1,21815228,225,1,641,2010
im-upset,Scorpion A,10,5,3,3,6,4,3,4,0,3,1,2,1,2,0,199241748,214,1,427,2018
views,Views,6,3,11,1,5,4,1,2,0,1,1,4,0,2,0,56883809,312,1,627,2016
and-future-change-locations,What A Time To Be Alive,0,2,2,3,19,6,2,4,0,0,0,0,0,0,0,59690860,221,1,583,2015
one-dance,Views,2,3,2,3,8,0,0,8,4,2,7,0,13,2,0,1586696075,174,0,395,2016
march-14,Scorpion B,10,2,3,2,7,2,2,1,0,1,3,0,6,0,0,30076071,310,1,561,2018
marvins-room,Take Care,14,6,0,5,1,0,2,2,2,2,2,1,2,2,0,212697266,347,1,567,2011
keep-the-family-close,Views,9,3,6,3,0,2,0,2,0,3,3,1,3,2,0,60522626,329,1,532,2016
and-future-live-from-the-gutter,What A Time To Be Alive,6,1,3,13,4,2,8,1,0,2,1,3,0,2,9,72042186,212,1,528,2015
well-be-fine,Take Care,9,1,4,14,5,4,4,3,2,2,0,3,17,1,5,46529978,248,1,683,2011
gyalchester,More Life,10,4,5,3,2,6,1,2,0,4,0,0,1,0,0,216465651,189,1,331,2017
cant-take-a-joke,Scorpion A,5,6,0,2,2,1,7,0,0,0,0,1,0,0,0,74232844,164,1,421,2018
look-what-youve-done,Take Care,8,4,5,2,5,6,3,1,1,1,2,0,1,8,0,41442718,302,1,768,2011
worst-behavior,Nothing Was The Same,8,7,6,1,2,2,6,2,0,0,0,2,1,0,3,104001747,270,1,546,2013
grammys,Views,19,3,8,6,1,3,2,1,0,0,0,3,1,0,3,118190841,280,1,639,2016
sacrifices,More Life,32,3,32,9,11,2,6,0,2,3,2,2,0,1,3,92762820,308,1,907,2017
kmt,More Life,4,3,0,14,3,0,2,0,1,0,0,0,0,2,0,105452877,163,1,298,2017
hype,Views,12,3,4,1,3,4,1,2,0,0,1,1,0,2,0,120931606,209,1,525,2016
preach,If You're Reading This It's Too Late,6,6,3,3,6,2,0,0,0,1,2,2,1,1,1,84394488,237,1,414,2015
