song,album,i,you,the,to,and,me,it,a,im,that,my,on,in,know,for,spotifyPlays,duration,explicit,wordCount,yearReleased
wednesday-night-interlude,If You're Reading This It's Too Late,4,6,0,3,1,2,6,3,17,4,2,3,1,1,0,49742611,212,1,195,2015
nice-for-what,Scorpion B,14,56,11,26,5,120,14,13,0,14,0,7,7,12,105,545129698,211,1,960,2018
over,Thank Me Later,34,8,17,5,10,16,18,4,13,7,2,6,2,8,1,78784512,234,1,597,2010
elevate,Scorpion A,23,5,9,7,6,7,9,6,2,6,10,5,3,2,7,77574969,185,1,360,2018
free-smoke,More Life,22,16,20,13,10,7,7,8,2,6,2,7,4,6,3,123998370,219,1,573,2017
hyfr,Take Care,27,20,9,10,23,10,9,6,3,5,8,0,4,0,5,132216435,207,1,585,2011
headlines,Take Care,23,16,8,8,15,7,18,8,4,21,11,6,5,43,1,216878305,236,1,581,2011
cant-have-everything,More Life,14,15,18,12,8,5,1,13,8,6,6,3,8,3,3,59829099,228,1,526,2017
the-motto,Take Care,5,12,23,5,8,2,6,12,10,3,3,6,12,5,1,203056768,182,1,523,2011
best-i-ever-had,So Far Gone,58,55,44,8,13,9,29,8,2,10,10,14,3,7,7,156391937,258,1,809,2009
now-and-forever,If You're Reading This It's Too Late,28,14,9,14,9,17,14,1,29,4,3,6,1,9,1,70866760,281,1,482,2015
do-not-disturb,More Life,31,10,18,26,8,19,9,10,4,9,11,4,11,3,7,138430512,284,1,651,2017
and-future-digital-dash,What A Time To Be Alive,56,14,47,13,17,9,13,24,14,10,18,25,20,8,1,76566383,231,1,791,2015
pound-cake-paris-morton-music-2,Nothing Was The Same,36,20,74,19,18,12,17,14,13,11,14,7,12,8,6,108694523,433,1,1081,2013
ceces-interlude,Thank Me Later,12,11,0,2,0,2,1,2,2,1,1,1,2,1,0,10242737,154,0,149,2010
the-resistance,Thank Me Later,41,16,21,17,10,13,13,12,13,9,15,8,6,4,5,21815228,225,1,641,2010
im-upset,Scorpion A,13,5,12,8,10,10,2,12,10,9,11,7,2,5,8,199241748,214,1,427,2018
views,Views,32,17,26,16,9,13,11,17,6,2,13,6,9,3,3,56883809,312,1,627,2016
and-future-change-locations,What A Time To Be Alive,13,12,21,26,29,28,11,6,0,5,27,6,6,2,0,59690860,221,1,583,2015
one-dance,Views,22,6,2,3,11,10,10,19,2,2,8,7,7,3,1,1586696075,174,0,395,2016
march-14,Scorpion B,24,17,19,27,9,6,8,11,10,9,6,6,5,2,6,30076071,310,1,561,2018
marvins-room,Take Care,27,35,9,12,10,10,3,8,14,21,2,2,8,6,1,212697266,347,1,567,2011
keep-the-family-close,Views,19,33,7,10,14,10,5,7,9,7,9,9,4,3,10,60522626,329,1,532,2016
and-future-live-from-the-gutter,What A Time To Be Alive,28,3,21,3,13,6,5,8,6,5,8,11,6,1,4,72042186,212,1,528,2015
well-be-fine,Take Care,21,30,30,13,8,5,14,9,9,9,1,2,5,1,2,46529978,248,1,683,2011
gyalchester,More Life,19,2,10,6,11,10,1,2,10,5,9,7,2,4,2,216465651,189,1,331,2017
cant-take-a-joke,Scorpion A,20,4,25,10,8,4,5,6,5,9,7,2,3,6,1,74232844,164,1,421,2018
look-what-youve-done,Take Care,41,45,18,11,33,16,14,9,8,20,8,5,15,4,5,41442718,302,1,768,2011
worst-behavior,Nothing Was The Same,10,20,18,16,4,7,6,3,8,4,13,7,2,7,3,104001747,270,1,546,2013
grammys,Views,35,13,20,7,5,17,3,36,19,7,2,5,3,3,1,118190841,280,1,639,2016
sacrifices,More Life,49,10,32,14,4,6,9,27,32,1,11,9,9,3,4,92762820,308,1,907,2017
kmt,More Life,6,3,8,1,4,2,2,7,4,9,6,4,9,3,1,105452877,163,1,298,2017
hype,Views,22,9,17,20,3,20,17,10,12,1,10,5,7,3,3,120931606,209,1,525,2016
preach,If You're Reading This It's Too Late,10,15,12,8,5,4,4,5,6,4,4,6,5,6,3,84394488,237,1,414,2015
talk-up,Scorpion A,15,14,14,3,3,4,5,5,15,6,4,3,3,10,2,57385371,223,1,423,2018
summer-games,Scorpion B,14,21,1,3,9,14,5,4,2,5,14,3,3,1,4,51420680,248,0,324,2018
energy,If You're Reading This It's Too Late,32,5,12,4,8,14,4,21,1,4,7,1,4,0,7,267928900,182,1,501,2015
u-with-me,Views,18,26,12,11,7,12,7,17,2,10,8,12,5,8,5,75325528,297,1,600,2016
connect,Nothing Was The Same,17,7,17,9,15,7,5,2,8,2,7,6,4,3,4,53758681,296,0,489,2013
too-good,Views,34,42,8,25,11,10,16,5,12,2,15,3,4,6,8,693625202,263,1,542,2016
portland,More Life,16,13,49,11,5,4,6,10,6,2,8,2,6,0,4,308093495,237,1,669,2017
fear,So Far Gone,35,12,23,6,19,22,7,9,5,9,16,1,10,4,5,15212814,281,1,676,2009
practice,Take Care,11,45,6,12,4,16,17,9,1,17,4,1,7,3,12,77004118,238,1,555,2011
skepta-interlude,More Life,9,5,17,6,4,12,5,34,3,14,18,6,3,2,1,55865888,143,1,496,2017
cameras,Take Care,10,46,18,10,5,5,6,3,6,2,1,21,4,7,0,44397724,435,1,468,2011
fake-love,More Life,19,13,5,32,4,20,8,3,0,4,24,1,4,3,1,293166379,211,1,474,2017
get-it-together,More Life,5,11,2,12,0,15,2,2,0,7,0,0,0,2,0,113017553,250,1,180,2017
thats-how-you-feel,Scorpion B,9,28,11,11,5,4,2,8,2,7,2,2,3,4,4,46923264,158,1,341,2018
furthest-thing,Nothing Was The Same,42,15,39,11,13,10,8,8,4,4,4,25,1,9,4,85543191,287,1,600,2013
childs-play,Views,22,34,15,12,11,5,29,27,6,19,5,4,6,10,2,158652561,241,1,627,2016
thank-me-now,Thank Me Later,30,25,30,26,17,21,8,11,14,12,4,7,11,8,11,22642519,329,1,794,2010
and-future-plastic-bag,What A Time To Be Alive,8,22,28,4,24,6,15,22,0,1,0,8,3,4,1,58891812,202,1,512,2015
buried-alive-interlude,Take Care,14,7,29,2,11,6,6,15,4,7,5,5,12,2,2,34887446,151,1,446,2011
4422,More Life,9,11,10,5,0,0,10,0,2,0,1,1,0,2,0,82124888,186,0,161,2017
you-and-the-6,If You're Reading This It's Too Late,28,23,15,13,14,21,11,9,14,13,5,3,4,7,6,50747858,265,1,738,2015
im-goin-in,So Far Gone,21,12,9,4,37,7,12,14,37,0,7,2,35,4,1,43785506,225,1,603,2009
the-real-her,Take Care,20,26,26,10,11,3,14,8,5,17,3,6,4,7,9,43888196,321,1,713,2011
and-future-jersey,What A Time To Be Alive,39,43,20,6,7,2,13,16,3,7,8,6,10,3,2,66999845,189,1,590,2015
no-long-talk,More Life,5,6,22,4,9,3,4,14,6,1,0,6,4,5,1,88278950,150,1,438,2017
legend,If You're Reading This It's Too Late,23,6,10,4,1,3,1,17,20,3,17,5,4,9,5,243588375,242,1,398,2015
under-ground-kings,Take Care,37,13,32,14,13,11,14,19,13,14,15,8,8,8,9,54409386,213,1,654,2011
lord-knows,Take Care,32,4,39,15,20,13,5,14,15,15,11,5,12,12,8,35859102,308,1,782,2011
know-yourself,If You're Reading This It's Too Late,17,24,16,5,11,5,13,9,6,23,15,3,4,21,2,238989378,276,1,549,2015
redemption,Views,22,34,10,25,10,29,9,10,12,9,10,12,3,5,10,88599470,334,1,690,2016
is-there-more,Scorpion A,22,11,23,16,11,9,9,7,6,7,14,5,11,1,1,37178759,227,1,574,2018
make-me-proud,Take Care,17,43,12,10,18,1,15,13,64,6,2,4,5,6,3,120248309,220,1,697,2011
blue-tint,Scorpion B,18,1,14,5,7,3,3,2,5,3,6,6,11,0,4,56903209,163,1,406,2018
come-thru,Nothing Was The Same,19,33,16,19,11,3,6,9,0,18,3,7,11,20,3,66229521,236,1,569,2013
used-to,If You're Reading This It's Too Late,30,26,46,29,7,7,12,18,12,9,4,9,10,2,8,70733931,268,1,943,2015
10-bands,If You're Reading This It's Too Late,34,5,24,3,0,4,10,5,1,3,6,3,10,2,2,180257154,178,1,457,2015
and-future-diamonds-dancing,What A Time To Be Alive,22,33,14,4,4,29,4,4,4,7,6,19,5,4,13,104043998,315,1,544,2015
take-care,Take Care,18,39,11,6,11,10,2,3,0,9,5,2,3,8,2,251893511,273,1,466,2011
after-dark,Scorpion B,17,30,17,6,8,8,7,4,2,1,3,4,9,10,8,52000292,290,1,568,2018
fancy,Thank Me Later,8,59,23,12,20,9,15,11,2,8,6,11,8,5,5,34531835,319,1,921,2010
in-my-feelings,Scorpion B,30,39,15,4,26,21,8,3,9,19,4,1,5,3,10,645696513,218,1,565,2018
since-way-back,More Life,30,46,3,8,10,9,2,2,3,4,8,7,5,44,0,49226022,368,0,543,2017
controlla,Views,17,30,2,10,9,13,8,8,2,2,7,3,0,0,8,506354966,245,1,404,2016
too-much,Nothing Was The Same,11,13,10,13,7,7,22,15,12,9,9,6,10,2,10,97001502,262,1,659,2013
uptown,So Far Gone,29,33,24,11,35,7,8,13,57,10,16,65,8,1,3,23870145,381,1,927,2009
passionfruit,More Life,7,10,6,4,0,0,1,3,1,5,5,9,0,0,5,584919518,299,1,228,2017
hold-on-were-going-home,Nothing Was The Same,19,20,4,3,10,5,6,6,0,2,2,13,0,9,0,427292782,228,1,309,2013
mob-ties,Scorpion A,12,5,7,6,8,2,10,8,11,19,2,1,5,2,14,122923810,205,1,502,2018
tuscan-leather,Nothing Was The Same,21,20,27,22,8,9,11,17,10,10,12,13,5,2,11,59095077,306,0,776,2013
ice-melts,More Life,16,28,4,24,3,4,11,10,4,4,0,1,4,3,0,74721074,251,1,458,2017
feel-no-ways,Views,10,19,5,13,8,6,7,14,0,3,5,11,4,0,1,116960777,241,1,331,2016
madiba-riddim,More Life,17,15,3,9,7,7,3,1,10,2,6,4,0,0,6,91934606,205,0,292,2017
glow,More Life,9,4,15,18,3,12,2,1,12,1,5,5,1,1,11,53516686,206,1,395,2017
dont-matter-to-me,Scorpion B,7,45,6,18,1,17,11,6,2,2,4,1,0,8,0,229154699,246,0,309,2018
sandras-rose,Scorpion A,24,6,17,8,10,6,4,8,6,5,9,5,2,1,4,50147558,216,1,541,2018
started-from-the-bottom,Nothing Was The Same,9,5,49,3,3,2,6,6,2,2,9,4,1,0,1,241806922,174,1,463,2013
successful,So Far Gone,70,10,44,22,29,9,13,16,8,7,13,4,11,8,7,25909079,352,1,849,2009
company,If You're Reading This It's Too Late,22,15,12,9,6,9,4,29,21,7,3,12,11,3,2,64129329,253,1,560,2015
jaded,Scorpion B,20,35,8,9,5,20,10,3,6,2,1,8,4,2,5,48576653,262,1,535,2018
shot-for-me,Take Care,21,30,17,5,11,19,10,13,4,9,0,1,5,4,12,99905067,225,1,401,2011
show-me-a-good-time,Thank Me Later,16,13,11,4,13,18,9,20,4,17,2,4,4,1,4,26548810,210,1,510,2010
light-up,Thank Me Later,22,13,26,12,16,10,14,13,9,7,2,3,12,1,3,17096112,274,1,671,2010
doing-it-wrong,Take Care,16,31,10,20,7,2,26,3,0,1,0,0,2,22,0,81803835,245,1,364,2011
6pm-in-new-york,If You're Reading This It's Too Late,32,22,33,25,22,11,25,15,11,10,19,12,11,2,6,41227801,283,1,904,2015
